speciesKey,authorship,basionym,basionymKey,canonicalName,class,classKey,constituentKey,datasetKey,family,familyKey,genus,genusKey,issues,key,kingdom,kingdomKey,lastCrawled,lastInterpreted,nameKey,nameType,nomenclaturalStatus,nubKey,numDescendants,order,orderKey,origin,parent,parentKey,phylum,phylumKey,publishedIn,rank,remarks,scientificName,sourceTaxonKey,species,taxonID,taxonomicStatus,vernacularName,vietnameseName
5599251,R.Br.,,,Abelia chinensis,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Caprifoliaceae,6710,Abelia,2888733,[],5599251,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:02:33.913+00:00,33984,SCIENTIFIC,[],5599251,5,Dipsacales,946,SOURCE,Abelia,2888733,Tracheophyta,7707728,"R. Br. (1818). In: Narr. Journey China 376, T.",SPECIES,,Abelia chinensis R.Br.,,Abelia chinensis,gbif:5599251,ACCEPTED,Chinese abelia,Lục đạo mộc trung quốc; Trà điều thụ
3940931,Wall.,,,Abelmoschus crinitus,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Malvaceae,6685,Abelmoschus,3152705,[],3940931,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:17.923+00:00,35546,SCIENTIFIC,[],3940931,1,Malvales,941,SOURCE,Abelmoschus,3152705,Tracheophyta,7707728,"Wall. (1830). In: Pl. As. Rar. 1: 39, T. 44.",SPECIES,,Abelmoschus crinitus Wall.,,Abelmoschus crinitus,gbif:3940931,ACCEPTED,,Bụp tóc
3152707,(L.) Moench,Hibiscus esculentus L.,3152708,Abelmoschus esculentus,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Malvaceae,6685,Abelmoschus,3152705,[],3152707,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:17.754+00:00,35596,SCIENTIFIC,[],3152707,2,Malvales,941,SOURCE,Abelmoschus,3152705,Tracheophyta,7707728,Moench. (1794). In: Methodus 617.,SPECIES,,Abelmoschus esculentus (L.) Moench,,Abelmoschus esculentus,gbif:3152707,ACCEPTED,Okra,Mướp tây; Bụp bắp; Đậu bắp; Bông vàng
3152706,(L.) Medik.,Hibiscus manihot L.,3935663,Abelmoschus manihot,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Malvaceae,6685,Abelmoschus,3152705,[],3152706,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:17.815+00:00,35703,SCIENTIFIC,[],3152706,6,Malvales,941,SOURCE,Abelmoschus,3152705,Tracheophyta,7707728,Malvenfam.: 46 (1787),SPECIES,,Abelmoschus manihot (L.) Medik.,,Abelmoschus manihot,gbif:3152706,ACCEPTED,Sunset muskmallow,Thục quỳ vàng
8312665,(L.) Medik.,,,Abelmoschus moschatus,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Malvaceae,6685,Abelmoschus,3152705,[],8312665,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:17.555+00:00,35805,SCIENTIFIC,[],8312665,3,Malvales,941,SOURCE,Abelmoschus,3152705,Tracheophyta,7707728,Malvenfam.: 46 (1787),SPECIES,,Abelmoschus moschatus (L.) Medik.,,Abelmoschus moschatus,gbif:8312665,ACCEPTED,Musk Okra,Vông vang
3940600,(Kurz) Merr.,Hibiscus sagittifolius Kurz,3933778,Abelmoschus sagittifolius,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Malvaceae,6685,Abelmoschus,3152705,[],3940600,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:17.675+00:00,35874,SCIENTIFIC,[],3940600,0,Malvales,941,SOURCE,Abelmoschus,3152705,Tracheophyta,7707728,Merr. (1924). In: Lingnaam Agr. Rev. 2: 40.,SPECIES,,Abelmoschus sagittifolius (Kurz) Merr.,,Abelmoschus sagittifolius,gbif:3940600,ACCEPTED,,"Sâm bố chính, Sâm thổ hào, Sâm báo, Nhân sâm Phú Yên"
2685456,Franch.,,,Abies delavayi,Pinopsida,194,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Pinaceae,3925,Abies,2684876,[],2685456,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:24.991+00:00,36694,SCIENTIFIC,[],2685456,5,Pinales,640,SOURCE,Abies,2684876,Tracheophyta,7707728,"Farjon, A. In: A Handbook of the World’s Conifers. Vol. 1 & 2. E. J. Brill, Leiden & Boston. 1112 pp. (2010).",SPECIES,,Abies delavayi Franch.,,Abies delavayi,gbif:2685456,ACCEPTED,Delavay's Silver-Fir,Vân sam
8219075,(L.) L.fil.,Theobroma augustum L.,3670137,Abroma augustum,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Malvaceae,6685,Abroma,10838483,[],8219075,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:45.291+00:00,97507766,SCIENTIFIC,[],8219075,1,Malvales,941,SOURCE,Abroma,10838483,Tracheophyta,7707728,L. fil. (n.d.). In: Suppl. Pl. 341 (1781 Publ. 1782).,SPECIES,,Abroma augustum (L.) L.fil.,,Abroma augustum,gbif:8219075,ACCEPTED,devil's-cotton,"Tai mèo, Bông vàng, Phác nhật sai"
5348711,L.,,,Abrus precatorius,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Fabaceae,5386,Abrus,2943776,[],5348711,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:17.559+00:00,45808,SCIENTIFIC,[],5348711,6,Fabales,1370,SOURCE,Abrus,2943776,Tracheophyta,7707728,"Syst. Nat. ed. 12, 2: 472 (1767)",SPECIES,,Abrus precatorius L.,,Abrus precatorius,gbif:5348711,ACCEPTED,Rosarypea,Cam thảo dây; Dây cườm cườm; Dây chi chi; Tương tư đằng; Cảm sảo (Tày)
3980200,Hassk.,,,Abrus melanospermus,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Fabaceae,5386,Abrus,2943776,[],3980200,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:17.500+00:00,45758,SCIENTIFIC,[],3980200,3,Fabales,1370,SOURCE,Abrus,2943776,Tracheophyta,7707728,Cat. Hort. Bot. Bogor. Alt.: 282 (1844),SPECIES,,Abrus melanospermus Hassk.,,Abrus melanospermus,gbif:3980200,ACCEPTED,licorice-root,
